x,t,u
0.21212122,0.6767677,0.32066345
0.21212122,0.68686867,0.31752416
0.21212122,0.6969697,0.31441283
0.21212122,0.7070707,0.3113292
0.21212122,0.7171717,0.3082729
0.21212122,0.72727275,0.30524358
0.21212122,0.7373737,0.3022409
0.21212122,0.7474748,0.2992646
0.21212122,0.75757575,0.29631427
0.21212122,0.7676768,0.2933894
0.21212122,0.7777778,0.29048997
0.21212122,0.78787875,0.28761575
0.21212122,0.79797983,0.28476593
0.21212122,0.8080808,0.28194076
0.21212122,0.8181818,0.27913964
0.21212122,0.82828283,0.2763622
0.21212122,0.83838385,0.27360854
0.21212122,0.8484849,0.2708778
0.21212122,0.85858583,0.26817033
0.21212122,0.86868685,0.2654856
0.21212122,0.8787879,0.2628233
0.21212122,0.8888889,0.26018322
0.21212122,0.8989899,0.25756508
0.21212122,0.9090909,0.25496846
0.21212122,0.9191919,0.25239354
0.21212122,0.9292929,0.24983981
0.21212122,0.93939394,0.2473069
0.21212122,0.94949496,0.24479489
0.21212122,0.959596,0.24230355
0.21212122,0.969697,0.23983246
0.21212122,0.97979796,0.23738134
0.21212122,0.989899,0.23495038
0.21212122,1.0,0.23253883
0.22222222,0.0,0.64547473
0.22222222,0.01010101,0.63909495
0.22222222,0.02020202,0.63276845
0.22222222,0.030303031,0.62649584
0.22222222,0.04040404,0.6202788
0.22222222,0.05050505,0.6141182
0.22222222,0.060606062,0.60801494
0.22222222,0.07070707,0.6019699
0.22222222,0.08080808,0.59598315
0.22222222,0.09090909,0.5900552
0.22222222,0.1010101,0.5841868
0.22222222,0.11111111,0.5783774
0.22222222,0.121212125,0.57262754
0.22222222,0.13131313,0.566937
0.22222222,0.14141414,0.56130564
0.22222222,0.15151516,0.55573326
0.22222222,0.16161616,0.55021983
0.22222222,0.17171717,0.54476446
0.22222222,0.18181819,0.5393673
0.22222222,0.1919192,0.5340276
0.22222222,0.2020202,0.528745
0.22222222,0.21212122,0.5235189
